,name,ranting,price,description,specification,delivery
40,Elysium Gold Linen Cushion - 65x45cm,no ranting,Current price £38.84,"Part of the Cynara collection, The Elysium Gold Linen cushion features a stylised climbing Scottish thistle watercolour design painted by our in-studio designers. Crafted in the UK and printed in-house on natural material, this cushion has been framed with a multicolour pom-pom trim and features a luxurious velvet back. Made from high-quality materials and filled with our plush duck feather inner, it provides superior comfort and style.
Disclaimer: Product images are shown for illustration purposes only and may vary slightly due to product enhancement and the screen settings of the device being used.","Design Style: Maximalist
Print: Elysium
Material: Linen
Composition: 95% cotton/5% linen/duck feather inner/100% polyester back
Size: 65x45cm
Aftercare: Dry Clean Only
Filling: Duck Feather
Trim: Pom Pom","All delivery costs are calculated based on the type of items in your order, where you live, and confirmed at the checkout. More details here.
UK Delivery
Delivery costs start from £6.95, with delivery taking 3 to 7 working days for in-stock items. For more information on delivery prices for our range of products visit our Delivery Policy page.
Lead Times
Lead times on our products vary by product type. We have a wide range of products in stock, but we also have a range of products that are print or made to order and delivery times will vary for these - more details.
Returns
If you’re not 100% happy with your purchase, you can return it to us in its original condition and original packaging with a completed returns form within 14 days for a full refund, provided it is in original, unused, saleable condition and repacked in the original packaging.
You are responsible for the cost of returning your item(s) to us, unless you received a faulty, damaged or wrongly dispatched item. To return an item, please follow the returns instructions here.
If you have any other questions about Deliveries or Returns, please give us a call on 0141 641 1700 or email us at voyageshop@voyfab.co.uk."
41,Darren Woodhead Flycatcher Spring Cushion - 43x43cm,no ranting,£35.50,"Add a touch of nature to your home with our Flycatcher Spring cushion from the Darren Woodhead collection created in collaboration with Voyage Maison. This gorgeous cushion is painted using intricate watercolour which features a charming bird perched amongst spring branches, the muted colours are perfect for adding a gentle pop of colour to your interior. Printed in-house and crafted in the UK, this cushion features handmade tie-dye trim and velvet back. Made from high-quality materials and filled with our plush duck feather inner, it provides superior comfort and style.
Disclaimer: Product images are shown for illustration purposes only and may vary slightly due to product enhancement and the screen settings of the device being used.","Design Style: Darren Woodhead
Print: Flycatcher
Accent Colour: Green
Material: Linen
Composition: 95% cotton/5% linen/duck feather inner/100% polyester back
Size: 43x43cm
Aftercare: Dry Clean Only
Filling: Duck Feather Inner
Trim: Tie Dye Loop Marine","Delivery
Delivery costs start from £6.95 for Fabric & Home Accessory products. For more information on delivery prices for the rest of our range visit our Delivery Policy page.
Lead Times
Lead times on our products vary by product type. We have a wide range of products in stock, but we also have a range of products that are print or made to order and delivery times will vary for these. For more information, visit our Delivery Policy page.
Returns
If you’re not 100% happy with your purchase, you can return it to us in its original condition and original packaging with a completed returns form within 14 days for a full refund, provided it is in original, unused, saleable condition and repacked in the original packaging.
You are responsible for the cost of returning your item(s) to us, unless you received a faulty, damaged or wrongly dispatched item.
To return an item, please follow the returns instructions within our Returns Policy page.
If you have any other questions about Deliveries or Returns, please give us a call on 0141 641 1700 or email us at voyageshop@voyfab.co.uk."
42,Darren Woodhead Lynhurst Acorn Cushion - 60x40cm,no ranting,£42.50,"Introducing our beautiful Lynhurst Acorn cushion from the Darren Woodhead collection created in collaboration with Voyage Maison. Painted by the artist in striking watercolour tones this design is printed in-house and crafted in the UK. This cushion features a luxurious velvet back and trim. Made from high-quality materials and filled with our plush duck feather inner, it provides superior comfort and style.
Disclaimer: Product images are shown for illustration purposes only and may vary slightly due to product enhancement and the screen settings of the device being used.","Design Style: Darren Woodhead
Print: Lynhurst
Accent Colour: Brown
Material: Linen
Composition: 95% cotton/5% linen/duck feather inner/100% polyester back
Size: 60x40cm
Aftercare: Dry Clean Only
Filling: Duck Feather Inner
Trim: Piped Velvet","Delivery
Delivery costs start from £6.95 for Fabric & Home Accessory products. For more information on delivery prices for the rest of our range visit our Delivery Policy page.
Lead Times
Lead times on our products vary by product type. We have a wide range of products in stock, but we also have a range of products that are print or made to order and delivery times will vary for these. For more information, visit our Delivery Policy page.
Returns
If you’re not 100% happy with your purchase, you can return it to us in its original condition and original packaging with a completed returns form within 14 days for a full refund, provided it is in original, unused, saleable condition and repacked in the original packaging.
You are responsible for the cost of returning your item(s) to us, unless you received a faulty, damaged or wrongly dispatched item.
To return an item, please follow the returns instructions within our Returns Policy page.
If you have any other questions about Deliveries or Returns, please give us a call on 0141 641 1700 or email us at voyageshop@voyfab.co.uk."
43,Marie Burke Easton Fern Cushion - 35x25cm,no ranting,£23.25,"Our bold Easton cushion is part of the new Marie Burke collection in collaboration with Voyage Maison. Exquisite brush strokes of fine watercolour painting bring this beautiful sunflower to life. Painted by Marie Burke the bold yellows contrast against the subtle greens of the foliage bringing the beauty of nature to this statement cushion. Printed on natural fabric and made in the UK this 35x25cm cushion features a vibrant green back and pipe in soft velvet which adds effortless style. Each Voyage Maison cushion is completed with a plush duck feather inner for extra comfort. Enjoy a touch of luxury in your home with Voyage Maison designer cushions.
Disclaimer: Product images are shown for illustration purposes only and may vary slightly due to product enhancement and the screen settings of the device being used.","Design Style: Marie Burke
Print: EASTON
Accent Colour: Yellow
Material: Linen
Composition: 95% cotton/5% linen/duck feather inner/100% polyester back
Size: 19
Aftercare: Dry Clean Only
Filling: Duck Feather Inner
Trim: Piped Velvet","Delivery
Delivery costs start from £6.95 for Fabric & Home Accessory products. For more information on delivery prices for the rest of our range visit our Delivery Policy page.
Lead Times
Lead times on our products vary by product type. We have a wide range of products in stock, but we also have a range of products that are print or made to order and delivery times will vary for these. For more information, visit our Delivery Policy page.
Returns
If you’re not 100% happy with your purchase, you can return it to us in its original condition and original packaging with a completed returns form within 14 days for a full refund, provided it is in original, unused, saleable condition and repacked in the original packaging.
You are responsible for the cost of returning your item(s) to us, unless you received a faulty, damaged or wrongly dispatched item.
To return an item, please follow the returns instructions within our Returns Policy page.
If you have any other questions about Deliveries or Returns, please give us a call on 0141 641 1700 or email us at voyageshop@voyfab.co.uk."
44,Darren Woodhead Kingfisher Evergreen Cushion - 60x40cm,no ranting,£42.50,"Our Kingfisher Evergreen Cushion, part of Voyage Maison’s collaboration with British fine artist Darren Woodhead, is the perfect addition to any decor. This watercolour design features a handsome kingfisher perched on their branch composing a peaceful atmosphere. Painted by the artist this design is printed in-house and crafted in the UK, featuring a beautiful velvet back and trim. Made from high-quality materials and filled with our plush duck feather inner, it provides superior comfort and style.
Disclaimer: Product images are shown for illustration purposes only and may vary slightly due to product enhancement and the screen settings of the device being used.","Design Style: Darren Woodhead
Print: Kingfisher
Accent Colour: Green
Material: Linen
Composition: 95% cotton/5% linen/duck feather inner/100% polyester back
Size: 60x40cm
Aftercare: Dry Clean Only
Filling: Duck Feather Inner
Trim: Piped Velvet","Delivery
Delivery costs start from £6.95 for Fabric & Home Accessory products. For more information on delivery prices for the rest of our range visit our Delivery Policy page.
Lead Times
Lead times on our products vary by product type. We have a wide range of products in stock, but we also have a range of products that are print or made to order and delivery times will vary for these. For more information, visit our Delivery Policy page.
Returns
If you’re not 100% happy with your purchase, you can return it to us in its original condition and original packaging with a completed returns form within 14 days for a full refund, provided it is in original, unused, saleable condition and repacked in the original packaging.
You are responsible for the cost of returning your item(s) to us, unless you received a faulty, damaged or wrongly dispatched item.
To return an item, please follow the returns instructions within our Returns Policy page.
If you have any other questions about Deliveries or Returns, please give us a call on 0141 641 1700 or email us at voyageshop@voyfab.co.uk."
45,Darren Woodhead Willow Warbler Apple Cushion - 60x40cm,no ranting,£44.00,"Add a touch of nature to your home with our stunning Willow Warbler Apple cushion from the Darren Woodhead collection created in collaboration with Voyage Maison. This delicate watercolour design features a beautiful bird resting amongst the branches creating a peaceful atmosphere in your home décor. Printed in-house and crafted in the UK, this cushion features a handmade tie-dye trim and beautiful velvet back. Made from high-quality materials and filled with our plush duck feather inner, it provides superior comfort and style.
Disclaimer: Product images are shown for illustration purposes only and may vary slightly due to product enhancement and the screen settings of the device being used.","Design Style: Darren Woodhead
Print: Willow
Accent Colour: Green
Material: Linen
Composition: 95% cotton/5% linen/duck feather inner/100% polyester back
Size: 60x40cm
Aftercare: Dry Clean Only
Filling: Duck Feather Inner
Trim: Tie Dye Loop Marine","Delivery
Delivery costs start from £6.95 for Fabric & Home Accessory products. For more information on delivery prices for the rest of our range visit our Delivery Policy page.
Lead Times
Lead times on our products vary by product type. We have a wide range of products in stock, but we also have a range of products that are print or made to order and delivery times will vary for these. For more information, visit our Delivery Policy page.
Returns
If you’re not 100% happy with your purchase, you can return it to us in its original condition and original packaging with a completed returns form within 14 days for a full refund, provided it is in original, unused, saleable condition and repacked in the original packaging.
You are responsible for the cost of returning your item(s) to us, unless you received a faulty, damaged or wrongly dispatched item.
To return an item, please follow the returns instructions within our Returns Policy page.
If you have any other questions about Deliveries or Returns, please give us a call on 0141 641 1700 or email us at voyageshop@voyfab.co.uk."
46,Elysium Russet Linen Cushion - 65x45cm,no ranting,Current price £38.84,"Part of the Cynara collection, The Elysium Russet Linen cushion features a stylised climbing Scottish thistle watercolour design painted by our in-studio designers. Crafted in the UK and printed in-house on natural material, this cushion has been framed with a multicolour pom-pom trim and features a luxurious velvet back. Made from high-quality materials and filled with our plush duck feather inner, it provides superior comfort and style.
Disclaimer: Product images are shown for illustration purposes only and may vary slightly due to product enhancement and the screen settings of the device being used.","Design Style: Maximalist
Print: Elysium
Material: Linen
Composition: 95% cotton/5% linen/duck feather inner/100% polyester back
Size: 65x45cm
Aftercare: Dry Clean Only
Filling: Duck Feather
Trim: Pom Pom","All delivery costs are calculated based on the type of items in your order, where you live, and confirmed at the checkout. More details here.
UK Delivery
Delivery costs start from £6.95, with delivery taking 3 to 7 working days for in-stock items. For more information on delivery prices for our range of products visit our Delivery Policy page.
Lead Times
Lead times on our products vary by product type. We have a wide range of products in stock, but we also have a range of products that are print or made to order and delivery times will vary for these - more details.
Returns
If you’re not 100% happy with your purchase, you can return it to us in its original condition and original packaging with a completed returns form within 14 days for a full refund, provided it is in original, unused, saleable condition and repacked in the original packaging.
You are responsible for the cost of returning your item(s) to us, unless you received a faulty, damaged or wrongly dispatched item. To return an item, please follow the returns instructions here.
If you have any other questions about Deliveries or Returns, please give us a call on 0141 641 1700 or email us at voyageshop@voyfab.co.uk."
47,Darren Woodhead Goldfinch Ochre Cushion - 43x43cm,no ranting,£35.50,"Introducing our gorgeous Goldfinch Ochre Cushion from the Darren Woodhead collection created in collaboration with Voyage Maison. Painted by the artist this design is printed in-house and crafted in the UK, featuring a beautiful handmade tie-dye loop trim and velvet back. Made from high-quality materials and filled with our plush duck feather inner, it provides superior comfort and style.
Disclaimer: Product images are shown for illustration purposes only and may vary slightly due to product enhancement and the screen settings of the device being used.","Design Style: Darren Woodhead
Print: Goldfinch
Accent Colour: Orange
Material: Linen
Composition: 95% cotton/5% linen/duck feather inner/100% polyester back
Size: 43x43cm
Aftercare: Dry Clean Only
Filling: Duck Feather Inner
Trim: Tie Dye Loop Hawthorn","Delivery
Delivery costs start from £6.95 for Fabric & Home Accessory products. For more information on delivery prices for the rest of our range visit our Delivery Policy page.
Lead Times
Lead times on our products vary by product type. We have a wide range of products in stock, but we also have a range of products that are print or made to order and delivery times will vary for these. For more information, visit our Delivery Policy page.
Returns
If you’re not 100% happy with your purchase, you can return it to us in its original condition and original packaging with a completed returns form within 14 days for a full refund, provided it is in original, unused, saleable condition and repacked in the original packaging.
You are responsible for the cost of returning your item(s) to us, unless you received a faulty, damaged or wrongly dispatched item.
To return an item, please follow the returns instructions within our Returns Policy page.
If you have any other questions about Deliveries or Returns, please give us a call on 0141 641 1700 or email us at voyageshop@voyfab.co.uk."
48,Lady Grouse Linen Cushion - 50x50cm,no ranting,£44.00,"Introducing Lady Grouse, a beautiful watercolour design painted in house and produced in the UK. This striking linen cushion is part of our Woodland Tales Collection, and features a charming grouse surrounded by lush woodland foliage, perfect for adding a touch of nature to your décor. Complimented with a lilac brushed denim back and a winter tie-dye trim, each Voyage Maison cushion is filled with a plush duck feather inner.
Disclaimer: Product images are shown for illustration purposes only and may vary slightly due to product enhancement and the screen settings of the device being used.","Design Style: Woodland Tales
Print: Lady Grouse
Material: Cotton Blend
Composition: 95% COTTON 5% LINEN/100% POLYESTER
Size: 50X50
Aftercare: Dry Clean Only
Filling: Duck Feather
Trim: Handmade, Tie Dye Loop Trim","All delivery costs are calculated based on the type of items in your order, where you live, and confirmed at the checkout. More details here.
UK Delivery
Delivery costs start from £6.95, with delivery taking 3 to 7 working days for in-stock items. For more information on delivery prices for our range of products visit our Delivery Policy page.
Lead Times
Lead times on our products vary by product type. We have a wide range of products in stock, but we also have a range of products that are print or made to order and delivery times will vary for these - more details.
Returns
If you’re not 100% happy with your purchase, you can return it to us in its original condition and original packaging with a completed returns form within 14 days for a full refund, provided it is in original, unused, saleable condition and repacked in the original packaging.
You are responsible for the cost of returning your item(s) to us, unless you received a faulty, damaged or wrongly dispatched item. To return an item, please follow the returns instructions here.
If you have any other questions about Deliveries or Returns, please give us a call on 0141 641 1700 or email us at voyageshop@voyfab.co.uk."
49,Elora Orchard Twilight Cushion - 50x40cm,no ranting,£40.25,"Elora Orchard is the perfect addition to your home if you're looking for a touch of nature. This watercolour linen cushion design features delicate butterflies and foliage, injecting brightness into any room. Designed in-house and made in the UK, this design is part of our Woodland Tales collection. Complimented with a luxury navy velvet back and a handmade hawthorn tie-dye trim, each Voyage Maison cushion is filled with a plush duck feather inner.
Disclaimer: Product images are shown for illustration purposes only and may vary slightly due to product enhancement and the screen settings of the device being used.","Design Style: Woodland Tales
Print: Elora Orchard
Material: Cotton Blend
Composition: 95% COTTON 5% LINEN/100% POLYESTER
Size: 50X40
Aftercare: Dry Clean Only
Filling: Duck Feather
Trim: Handmade, Tie Dye Loop Trim","All delivery costs are calculated based on the type of items in your order, where you live, and confirmed at the checkout. More details here.
UK Delivery
Delivery costs start from £6.95, with delivery taking 3 to 7 working days for in-stock items. For more information on delivery prices for our range of products visit our Delivery Policy page.
Lead Times
Lead times on our products vary by product type. We have a wide range of products in stock, but we also have a range of products that are print or made to order and delivery times will vary for these - more details.
Returns
If you’re not 100% happy with your purchase, you can return it to us in its original condition and original packaging with a completed returns form within 14 days for a full refund, provided it is in original, unused, saleable condition and repacked in the original packaging.
You are responsible for the cost of returning your item(s) to us, unless you received a faulty, damaged or wrongly dispatched item. To return an item, please follow the returns instructions here.
If you have any other questions about Deliveries or Returns, please give us a call on 0141 641 1700 or email us at voyageshop@voyfab.co.uk."
50,Whimsical Tale Dawn Cushion - 60x40cm,no ranting,£43.00,"Welcome to our world of fantasy with our Whimsical Tale Dawn cushion. Part of our Woodland Tales collection, inspired by magical woodlands, this British-made linen cushion features the beauty of nature in stunning detail. If you're looking to add a touch of natural whimsy to your home, look no further than our Whimsical Tale. Complimented with a grey brushed denim back and a colourful handmade tie-dye trim, each Voyage Maison cushion is filled with a plush duck feather inner.
Disclaimer: Product images are shown for illustration purposes only and may vary slightly due to product enhancement and the screen settings of the device being used.","Design Style: Woodland Tales
Print: Whimsical Tale
Accent Colour: Blue
Material: Cotton Blend
Composition: 95% COTTON 5% LINEN/100% POLYESTER
Size: 60X40
Aftercare: Dry Clean Only
Filling: Duck Feather
Trim: Handmade, Tie Dye Loop Trim","All delivery costs are calculated based on the type of items in your order, where you live, and confirmed at the checkout. More details here.
UK Delivery
Delivery costs start from £6.95, with delivery taking 3 to 7 working days for in-stock items. For more information on delivery prices for our range of products visit our Delivery Policy page.
Lead Times
Lead times on our products vary by product type. We have a wide range of products in stock, but we also have a range of products that are print or made to order and delivery times will vary for these - more details.
Returns
If you’re not 100% happy with your purchase, you can return it to us in its original condition and original packaging with a completed returns form within 14 days for a full refund, provided it is in original, unused, saleable condition and repacked in the original packaging.
You are responsible for the cost of returning your item(s) to us, unless you received a faulty, damaged or wrongly dispatched item. To return an item, please follow the returns instructions here.
If you have any other questions about Deliveries or Returns, please give us a call on 0141 641 1700 or email us at voyageshop@voyfab.co.uk."
51,Leaping Into The Fauna Linen Cushion - 60x40cm,no ranting,£44.00,"Introducing our stunning new linen cushion, Leaping Into The Fauna. From our Woodland Tales collection, this cushion features a playful fox and hare among the lush foliage, making it the perfect addition to any nature-inspired décor. Painted and produced in the UK, this cushion is paired with a rusty orange linen blend back and a cream/stone pompom trim. To finish, each Voyage Maison cushion is filled with a plush duck feather inner.
Disclaimer: Product images are shown for illustration purposes only and may vary slightly due to product enhancement and the screen settings of the device being used.","Design Style: Woodland Tales
Print: Leaping Into The Fauna
Accent Colour: Orange
Material: Cotton Blend
Composition: 95% COTTON 5% LINEN/54% POLYESTER 36% VISCOSE 10% LINEN
Size: 60X40
Aftercare: Dry Clean Only
Filling: Duck Feather
Trim: Handmade Pom Pom","All delivery costs are calculated based on the type of items in your order, where you live, and confirmed at the checkout. More details here.
UK Delivery
Delivery costs start from £6.95, with delivery taking 3 to 7 working days for in-stock items. For more information on delivery prices for our range of products visit our Delivery Policy page.
Lead Times
Lead times on our products vary by product type. We have a wide range of products in stock, but we also have a range of products that are print or made to order and delivery times will vary for these - more details.
Returns
If you’re not 100% happy with your purchase, you can return it to us in its original condition and original packaging with a completed returns form within 14 days for a full refund, provided it is in original, unused, saleable condition and repacked in the original packaging.
You are responsible for the cost of returning your item(s) to us, unless you received a faulty, damaged or wrongly dispatched item. To return an item, please follow the returns instructions here.
If you have any other questions about Deliveries or Returns, please give us a call on 0141 641 1700 or email us at voyageshop@voyfab.co.uk."
52,Elora Orchard Harvest Cushion - 50x40cm,no ranting,£40.25,"Take an enchanting journey through the woodlands with our Elora Orchard cushion. Part of our Woodland Tales collection, this linen cushion is designed with watercolours and features beautiful butterflies roaming through deep foliage with a mustard yellow background. Proudly designed in house and produced in the UK, the cushion is complimented with a rusty orange velvet back and a handmade hawthorn tie-dye trim. To finish, each Voyage Maison cushion is filled with a plush duck feather inner.
Disclaimer: Product images are shown for illustration purposes only and may vary slightly due to product enhancement and the screen settings of the device being used.","Design Style: Woodland Tales
Print: Elora Orchard
Material: Cotton Blend
Composition: 95% COTTON 5% LINEN/100% POLYESTER
Size: 50X40
Aftercare: Dry Clean Only
Filling: Duck Feather
Trim: Handmade, Tie Dye Loop Trim","All delivery costs are calculated based on the type of items in your order, where you live, and confirmed at the checkout. More details here.
UK Delivery
Delivery costs start from £6.95, with delivery taking 3 to 7 working days for in-stock items. For more information on delivery prices for our range of products visit our Delivery Policy page.
Lead Times
Lead times on our products vary by product type. We have a wide range of products in stock, but we also have a range of products that are print or made to order and delivery times will vary for these - more details.
Returns
If you’re not 100% happy with your purchase, you can return it to us in its original condition and original packaging with a completed returns form within 14 days for a full refund, provided it is in original, unused, saleable condition and repacked in the original packaging.
You are responsible for the cost of returning your item(s) to us, unless you received a faulty, damaged or wrongly dispatched item. To return an item, please follow the returns instructions here.
If you have any other questions about Deliveries or Returns, please give us a call on 0141 641 1700 or email us at voyageshop@voyfab.co.uk."
53,Hansel Hare Linen Cushion - 50x40cm,no ranting,£41.25,"Our Hansel Hare cushion is sure to enchant you. Part of our Woodland Tales collection, this linen cushion is inspired by enchanting forests combined with a touch of our unique style. Featuring a bouncing hare jumping around the playful leaves, this whimsical design is perfect to add a touch of nature to your home. Designed and produced in the UK, this cushion is paired with a rusty orange linen blend back and a colourful handmade tie-dye trim. To finish, each Voyage Maison cushion is filled with a plush duck feather inner.
Disclaimer: Product images are shown for illustration purposes only and may vary slightly due to product enhancement and the screen settings of the device being used.","Design Style: Woodland Tales
Print: Hansel Hare
Material: Cotton Blend
Composition: 95% COTTON 5% LINEN/54% POLYESTER 36% VISCOSE 10% LINEN
Size: 50X40
Aftercare: Dry Clean Only
Filling: Duck Feather
Trim: Handmade, Tie Dye Loop Trim","All delivery costs are calculated based on the type of items in your order, where you live, and confirmed at the checkout. More details here.
UK Delivery
Delivery costs start from £6.95, with delivery taking 3 to 7 working days for in-stock items. For more information on delivery prices for our range of products visit our Delivery Policy page.
Lead Times
Lead times on our products vary by product type. We have a wide range of products in stock, but we also have a range of products that are print or made to order and delivery times will vary for these - more details.
Returns
If you’re not 100% happy with your purchase, you can return it to us in its original condition and original packaging with a completed returns form within 14 days for a full refund, provided it is in original, unused, saleable condition and repacked in the original packaging.
You are responsible for the cost of returning your item(s) to us, unless you received a faulty, damaged or wrongly dispatched item. To return an item, please follow the returns instructions here.
If you have any other questions about Deliveries or Returns, please give us a call on 0141 641 1700 or email us at voyageshop@voyfab.co.uk."
54,Primrose Wisteria Cushion - 50x50cm,no ranting,£45.25,"Adorn your home with woodland magic from our Woodland Tales collection and discover our Primrose cushion. Featuring hand-painted scenes of beautiful fresh flowers and foliage against a powder blue background, it is inspired by the scenes of our countryside. The linen cushion is proudly made in the UK, paired with a peony linen blend back and a handmade spring tie-dye trim, it is a great treasure to add to your home. To finish, each Voyage Maison cushion is filled with a plush duck feather inner.
Disclaimer: Product images are shown for illustration purposes only and may vary slightly due to product enhancement and the screen settings of the device being used.","Design Style: Woodland Tales
Print: Primrose
Accent Colour: Pink
Material: Cotton Blend
Composition: 95% COTTON 5% LINEN/54% POLYESTER 36% VISCOSE 10% LINEN
Size: 50X50
Aftercare: Dry Clean Only
Filling: Duck Feather
Trim: Handmade, Tie Dye Loop Trim","All delivery costs are calculated based on the type of items in your order, where you live, and confirmed at the checkout. More details here.
UK Delivery
Delivery costs start from £6.95, with delivery taking 3 to 7 working days for in-stock items. For more information on delivery prices for our range of products visit our Delivery Policy page.
Lead Times
Lead times on our products vary by product type. We have a wide range of products in stock, but we also have a range of products that are print or made to order and delivery times will vary for these - more details.
Returns
If you’re not 100% happy with your purchase, you can return it to us in its original condition and original packaging with a completed returns form within 14 days for a full refund, provided it is in original, unused, saleable condition and repacked in the original packaging.
You are responsible for the cost of returning your item(s) to us, unless you received a faulty, damaged or wrongly dispatched item. To return an item, please follow the returns instructions here.
If you have any other questions about Deliveries or Returns, please give us a call on 0141 641 1700 or email us at voyageshop@voyfab.co.uk."
55,Marie Burke Darwen Fuchsia Cushion - 30x30cm,no ranting,£23.25,"Introducing our elegant Darwen Fuchsia cushion, part of our Marie Burke collection in collaboration with Voyage Maison. Painted by the artist in striking watercolours this design features an incredibly detailed Iris in bold tones of pink and fuchsia enveloped in lavish foliage. Printed on natural fabrics and made in the UK, this cushion features a soft grey velvet back and pipe, adding a touch of luxury. Each Voyage Maison cushion is completed with a plush duck feather inner for extra comfort. Enjoy a touch of luxury in your home with Voyage Maison designer cushions.
Disclaimer: Product images are shown for illustration purposes only and may vary slightly due to product enhancement and the screen settings of the device being used.","Design Style: Marie Burke
Print: DARWEN
Accent Colour: Green
Material: Linen
Composition: 95% cotton/5% linen/duck feather inner/100% polyester back
Size: 19
Aftercare: Dry Clean Only
Filling: Duck Feather Inner
Trim: Piped Velvet","Delivery
Delivery costs start from £6.95 for Fabric & Home Accessory products. For more information on delivery prices for the rest of our range visit our Delivery Policy page.
Lead Times
Lead times on our products vary by product type. We have a wide range of products in stock, but we also have a range of products that are print or made to order and delivery times will vary for these. For more information, visit our Delivery Policy page.
Returns
If you’re not 100% happy with your purchase, you can return it to us in its original condition and original packaging with a completed returns form within 14 days for a full refund, provided it is in original, unused, saleable condition and repacked in the original packaging.
You are responsible for the cost of returning your item(s) to us, unless you received a faulty, damaged or wrongly dispatched item.
To return an item, please follow the returns instructions within our Returns Policy page.
If you have any other questions about Deliveries or Returns, please give us a call on 0141 641 1700 or email us at voyageshop@voyfab.co.uk."
56,Primrose Haze Cushion - 50x50cm,no ranting,£45.25,"Introducing our beautiful new Primrose cushion. Printed on linen, this watercolour design features a sea of foliage and delicate flowers, complimented with a hazy cream background. Forming part of our elegant Woodland Tales collection, this design is sure to capture all happiness. Designed and produced in the UK, the cushion is paired with a bluebell linen blend back and a winter tie-dye trim, each Voyage Maison cushion is filled with a plush duck feather inner.
Disclaimer: Product images are shown for illustration purposes only and may vary slightly due to product enhancement and the screen settings of the device being used.","Design Style: Woodland Tales
Print: Primrose
Accent Colour: Pink
Material: Cotton Blend
Composition: 95% COTTON 5% LINEN/54% POLYESTER 36% VISCOSE 10% LINEN
Size: 50X50
Aftercare: Dry Clean Only
Filling: Duck Feather
Trim: Handmade, Tie Dye Loop Trim","All delivery costs are calculated based on the type of items in your order, where you live, and confirmed at the checkout. More details here.
UK Delivery
Delivery costs start from £6.95, with delivery taking 3 to 7 working days for in-stock items. For more information on delivery prices for our range of products visit our Delivery Policy page.
Lead Times
Lead times on our products vary by product type. We have a wide range of products in stock, but we also have a range of products that are print or made to order and delivery times will vary for these - more details.
Returns
If you’re not 100% happy with your purchase, you can return it to us in its original condition and original packaging with a completed returns form within 14 days for a full refund, provided it is in original, unused, saleable condition and repacked in the original packaging.
You are responsible for the cost of returning your item(s) to us, unless you received a faulty, damaged or wrongly dispatched item. To return an item, please follow the returns instructions here.
If you have any other questions about Deliveries or Returns, please give us a call on 0141 641 1700 or email us at voyageshop@voyfab.co.uk."
57,Ennerdale Forest Teal Cushion - 50x50cm,no ranting,£45.25,"Our Ennerdale Forest cushion is perfect for adding a touch of the forest into your home. Part of our Woodland Tales collection, this linen cushion features a radiant quail and heron hidden among the magical leaves and paired with a teal backdrop, makes it perfect for any nature lover. Designed and produced in the UK, complimented with an autumnal orange brushed denim back and a colourful handmade tie-dye trim. To finish, each Voyage Maison cushion is filled with a plush duck feather inner.
Disclaimer: Product images are shown for illustration purposes only and may vary slightly due to product enhancement and the screen settings of the device being used.","Design Style: Woodland Tales
Print: Ennerdale Forest
Accent Colour: Pink
Material: Cotton Blend
Composition: 95% COTTON 5% LINEN/100% POLYESTER
Size: 50X50
Aftercare: Dry Clean Only
Filling: Duck Feather
Trim: Handmade, Tie Dye Loop Trim","All delivery costs are calculated based on the type of items in your order, where you live, and confirmed at the checkout. More details here.
UK Delivery
Delivery costs start from £6.95, with delivery taking 3 to 7 working days for in-stock items. For more information on delivery prices for our range of products visit our Delivery Policy page.
Lead Times
Lead times on our products vary by product type. We have a wide range of products in stock, but we also have a range of products that are print or made to order and delivery times will vary for these - more details.
Returns
If you’re not 100% happy with your purchase, you can return it to us in its original condition and original packaging with a completed returns form within 14 days for a full refund, provided it is in original, unused, saleable condition and repacked in the original packaging.
You are responsible for the cost of returning your item(s) to us, unless you received a faulty, damaged or wrongly dispatched item. To return an item, please follow the returns instructions here.
If you have any other questions about Deliveries or Returns, please give us a call on 0141 641 1700 or email us at voyageshop@voyfab.co.uk."
58,Enchanting Thistle Marigold Cushion - 50x50cm,no ranting,£45.25,"Bring the beauty of nature into your home with our Enchanting Thistle cushion. This watercolour design is inspired by the natural beauty within our outdoor surroundings, featuring elegant thistle plants across a flowing autumnal colour palette. Proudly designed and produced in the UK, the cushion is complimented with a rusty orange linen blend back and a colourful handmade tie-dye trim. To finish, each Voyage Maison cushion is filled with a plush duck feather inner.
Disclaimer: Product images are shown for illustration purposes only and may vary slightly due to product enhancement and the screen settings of the device being used.","Design Style: Woodland Tales
Print: Enchanting Thistle
Accent Colour: Orange
Material: Cotton Blend
Composition: 95% COTTON 5% LINEN/54% POLYESTER 36% VISCOSE 10% LINEN
Size: 50X50
Aftercare: Dry Clean Only
Filling: Duck Feather
Trim: Handmade, Tie Dye Loop Trim","All delivery costs are calculated based on the type of items in your order, where you live, and confirmed at the checkout. More details here.
UK Delivery
Delivery costs start from £6.95, with delivery taking 3 to 7 working days for in-stock items. For more information on delivery prices for our range of products visit our Delivery Policy page.
Lead Times
Lead times on our products vary by product type. We have a wide range of products in stock, but we also have a range of products that are print or made to order and delivery times will vary for these - more details.
Returns
If you’re not 100% happy with your purchase, you can return it to us in its original condition and original packaging with a completed returns form within 14 days for a full refund, provided it is in original, unused, saleable condition and repacked in the original packaging.
You are responsible for the cost of returning your item(s) to us, unless you received a faulty, damaged or wrongly dispatched item. To return an item, please follow the returns instructions here.
If you have any other questions about Deliveries or Returns, please give us a call on 0141 641 1700 or email us at voyageshop@voyfab.co.uk."
